JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ, IGNORAR1, IGNORAR2, IGNORAR3, IGNORAR 4, IGNORAR 5, IGNORAR 6,            
2460766.500000000, A.D. 2025-Apr-01 00:00:00.0000, -9.803066574733390E-01, -1.935141489038212E-01,  1.498630022526094E-05,  3.057689999970376E-03, -1.694841777733513E-02,  5.102168370891322E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460767.500000000, A.D. 2025-Apr-02 00:00:00.0000, -9.771032044732010E-01, -2.104323089919837E-01,  1.556486123938526E-05,  3.348948088761836E-03, -1.688703398173705E-02,  6.503050694285350E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460768.500000000, A.D. 2025-Apr-03 00:00:00.0000, -9.736093176180086E-01, -2.272865058389355E-01,  1.629170282826680E-05,  3.638538716158330E-03, -1.682051708043387E-02,  8.047844172661520E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460769.500000000, A.D. 2025-Apr-04 00:00:00.0000, -9.698267143018554E-01, -2.440716828136106E-01,  1.717537360511028E-05,  3.926368715267578E-03, -1.674901868226352E-02,  9.621487087502058E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460770.500000000, A.D. 2025-Apr-05 00:00:00.0000, -9.657571868864303E-01, -2.607829289970830E-01,  1.821361638257884E-05,  4.212379364376308E-03, -1.667267699628908E-02,  1.112431245806615E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460771.500000000, A.D. 2025-Apr-06 00:00:00.0000, -9.614025741740005E-01, -2.774154622091367E-01,  1.939520844429701E-05,  4.496534623873038E-03, -1.659161085054173E-02,  1.247698986676347E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460772.500000000, A.D. 2025-Apr-07 00:00:00.0000, -9.567647439103453E-01, -2.939646090990495E-01,  2.070201809909158E-05,  4.778811262088801E-03, -1.650591932767648E-02,  1.362036788487513E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460773.500000000, A.D. 2025-Apr-08 00:00:00.0000, -9.518455835704133E-01, -3.104257864774556E-01,  2.211090478218064E-05,  5.059192210967655E-03, -1.641568416843500E-02,  1.451291392028158E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460774.500000000, A.D. 2025-Apr-09 00:00:00.0000, -9.466469962804808E-01, -3.267944854894020E-01,  2.359532983031280E-05,  5.337662796943384E-03, -1.632097277822216E-02,  1.512773231306211E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460775.500000000, A.D. 2025-Apr-10 00:00:00.0000, -9.411708994829404E-01, -3.430662585880113E-01,  2.512669279126592E-05,  5.614208846479355E-03, -1.622184071350580E-02,  1.545014798902349E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460776.500000000, A.D. 2025-Apr-11 00:00:00.0000, -9.354192249754653E-01, -3.592367085831601E-01,  2.667546627808443E-05,  5.888815690683691E-03, -1.611833334412260E-02,  1.547608798597272E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460777.500000000, A.D. 2025-Apr-12 00:00:00.0000, -9.293939197898816E-01, -3.753014789975009E-01,  2.821220216664277E-05,  6.161467400190337E-03, -1.601048685483090E-02,  1.521107754830769E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460778.500000000, A.D. 2025-Apr-13 00:00:00.0000, -9.230969478653916E-01, -3.912562452323296E-01,  2.970845466619417E-05,  6.432145936444151E-03, -1.589832892163220E-02,  1.466952679081732E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460779.500000000, A.D. 2025-Apr-14 00:00:00.0000, -9.165302926316655E-01, -4.070967063790319E-01,  3.113763438587819E-05,  6.700830194946681E-03, -1.578187936728347E-02,  1.387402742154921E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460780.500000000, A.D. 2025-Apr-15 00:00:00.0000, -9.096959605451519E-01, -4.228185777480968E-01,  3.247578624116596E-05,  6.967495087047398E-03, -1.566115095107968E-02,  1.285452518722389E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460781.500000000, A.D. 2025-Apr-16 00:00:00.0000, -9.025959854468596E-01, -4.384175842485909E-01,  3.370227940173726E-05,  7.232110841220374E-03, -1.553615025945250E-02,  1.164740850646424E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460782.500000000, A.D. 2025-Apr-17 00:00:00.0000, -8.952324334646971E-01, -4.538894546342358E-01,  3.480040896841835E-05,  7.494642615215254E-03, -1.540687850797331E-02,  1.029469169883153E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460783.500000000, A.D. 2025-Apr-18 00:00:00.0000, -8.876074081741148E-01, -4.692299163991961E-01,  3.575793043471643E-05,  7.755050336527625E-03, -1.527333199556641E-02,  8.843525222130951E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460784.500000000, A.D. 2025-Apr-19 00:00:00.0000, -8.797230559160467E-01, -4.844346908595840E-01,  3.656756953319786E-05,  8.013288482147400E-03, -1.513550199605288E-02,  7.346212852554768E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460785.500000000, A.D. 2025-Apr-20 00:00:00.0000, -8.715815715583106E-01, -4.994994878152472E-01,  3.722756077759344E-05,  8.269305318948313E-03, -1.499337404012451E-02,  5.860751272550440E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460786.500000000, A.D. 2025-Apr-21 00:00:00.0000, -8.631852055348341E-01, -5.144199992780509E-01,  3.774225652241541E-05,  8.523041003027225E-03, -1.484692684119668E-02,  4.451626827453276E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460787.500000000, A.D. 2025-Apr-22 00:00:00.0000, -8.545362736043349E-01, -5.291918922167699E-01,  3.812280269107948E-05,  8.774423959746900E-03, -1.469613156386798E-02,  3.190200886527207E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460788.500000000, A.D. 2025-Apr-23 00:00:00.0000, -8.456371712211368E-01, -5.438108012437906E-01,  3.838778616046450E-05,  9.023365287023973E-03, -1.454095269871247E-02,  2.153523140452890E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460789.500000000, A.D. 2025-Apr-24 00:00:00.0000, -8.364903943004354E-01, -5.582723237039710E-01,  3.856362043736440E-05,  9.269751765707462E-03, -1.438135230957343E-02,  1.420008574661445E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460790.500000000, A.D. 2025-Apr-25 00:00:00.0000, -8.270985668826401E-01, -5.725720214416705E-01,  3.868427964108475E-05,  9.513439546844166E-03, -1.421729936516820E-02,  1.060556010259409E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
