JDTDB, Fecha, X, Y, Z, VX, VY, Vz,
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  4.003460488693537E+00,  2.935353187887882E+00, -1.018230443988181E-01, -4.563750795379206E-03,  6.447274222742638E-03,  7.547009668026901E-05,
2451545.500000000, A.D. 2000-Jan-02 00:00:00.0000,  3.998892119298850E+00,  2.941796611118529E+00, -1.017474576985766E-01, -4.573120979636896E-03,  6.440117437541063E-03,  7.572106893962765E-05,
2451546.500000000, A.D. 2000-Jan-03 00:00:00.0000,  3.994313622495539E+00,  2.948232821985143E+00, -1.016716335300241E-01, -4.583276163771544E-03,  6.431841313100804E-03,  7.591908001123474E-05,
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000,  3.989726279669548E+00,  2.954661349952808E+00, -1.015955728118711E-01, -4.592098739335094E-03,  6.425609622011756E-03,  7.620552563892946E-05,
2451548.500000000, A.D. 2000-Jan-05 00:00:00.0000,  3.985129044490524E+00,  2.961083081620592E+00, -1.015192617020404E-01, -4.601717619411486E-03,  6.417798920900481E-03,  7.642558775075082E-05,
2451549.500000000, A.D. 2000-Jan-06 00:00:00.0000,  3.980522666866412E+00,  2.967497899603436E+00, -1.014426888070148E-01, -4.611652660905291E-03,  6.411568591930448E-03,  7.670169525735913E-05,
2451550.500000000, A.D. 2000-Jan-07 00:00:00.0000,  3.975906341358355E+00,  2.973905458042225E+00, -1.013658766225481E-01, -4.620554459412594E-03,  6.404117390327159E-03,  7.694913045053119E-05,
2451551.500000000, A.D. 2000-Jan-08 00:00:00.0000,  3.971280463047990E+00,  2.980306708134734E+00, -1.012887872793349E-01, -4.631560779076604E-03,  6.397637184377747E-03,  7.719785232427503E-05,
2451552.500000000, A.D. 2000-Jan-09 00:00:00.0000,  3.966644188008578E+00,  2.986700272538109E+00, -1.012114814359977E-01, -4.640943586343155E-03,  6.390052796750291E-03,  7.743496009532456E-05,
2451553.500000000, A.D. 2000-Jan-10 00:00:00.0000,  3.961997852155648E+00,  2.993086422793749E+00, -1.011339424467245E-01, -4.651267247268290E-03,  6.381655647859604E-03,  7.762824888078742E-05,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000,  3.957342629611939E+00,  2.999464428338488E+00, -1.010561818767723E-01, -4.659734279691153E-03,  6.374924580695259E-03,  7.790408580344176E-05,
2451555.500000000, A.D. 2000-Jan-12 00:00:00.0000,  3.952677769954231E+00,  3.005835449734842E+00, -1.009781725291497E-01, -4.669359774942393E-03,  6.366892249102809E-03,  7.811685653509964E-05,
2451556.500000000, A.D. 2000-Jan-13 00:00:00.0000,  3.948004015997195E+00,  3.012199191492646E+00, -1.008999100979982E-01, -4.678806700437047E-03,  6.360509964671037E-03,  7.839557312057614E-05,
2451557.500000000, A.D. 2000-Jan-14 00:00:00.0000,  3.943320534236857E+00,  3.018555597335020E+00, -1.008214069413682E-01, -4.687579668355261E-03,  6.352736792200455E-03,  7.863443027285911E-05,
2451558.500000000, A.D. 2000-Jan-15 00:00:00.0000,  3.938627956581803E+00,  3.024905514595879E+00, -1.007426254200726E-01, -4.698115119912555E-03,  6.346475371943195E-03,  7.889842356278728E-05,
2451559.500000000, A.D. 2000-Jan-16 00:00:00.0000,  3.933925136109538E+00,  3.031247858847299E+00, -1.006636209294968E-01, -4.707319209921794E-03,  6.338756927849538E-03,  7.913356110931921E-05,
