JDTDB, Fecha, X, Y, Z, VX, VY, Vz,
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  1.390361066039004E+00, -2.100972225898463E-02, -3.461801440927048E-02,  7.479271359517672E-04,  1.518629867665782E-02,  2.997532106431930E-04,
2451545.500000000, A.D. 2000-Jan-02 00:00:00.0000,  1.391032569593221E+00, -5.822543776133760E-03, -3.431636420432249E-02,  5.950961374938183E-04,  1.518777985258652E-02,  3.035409525555073E-04,
2451546.500000000, A.D. 2000-Jan-03 00:00:00.0000,  1.391551294035760E+00,  9.365281178634739E-03, -3.401094501837443E-02,  4.423724019275620E-04,  1.518759225840656E-02,  3.072911035560094E-04,
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000,  1.391917357112668E+00,  2.455208572995973E-02, -3.370179466731005E-02,  2.897768563462996E-04,  1.518573972434364E-02,  3.110032251376655E-04,
2451548.500000000, A.D. 2000-Jan-05 00:00:00.0000,  1.392130897432341E+00,  3.973620699598683E-02, -3.338895139602536E-02,  1.373303195066732E-04,  1.518222639908865E-02,  3.146768865365517E-04,
2451549.500000000, A.D. 2000-Jan-06 00:00:00.0000,  1.392192074351185E+00,  5.491598640093685E-02, -3.307245386922437E-02, -1.494651396479346E-05,  1.517705674709215E-02,  3.183116699086693E-04,
2451550.500000000, A.D. 2000-Jan-07 00:00:00.0000,  1.392101067853835E+00,  7.008976998315915E-02, -3.275234116231104E-02, -1.670330813599933E-04,  1.517023554496809E-02,  3.219071715070721E-04,
2451551.500000000, A.D. 2000-Jan-08 00:00:00.0000,  1.391858078427011E+00,  8.525590869878784E-02, -3.242865275181710E-02, -3.189089537446771E-04,  1.516176787226108E-02,  3.254629996166991E-04,
2451552.500000000, A.D. 2000-Jan-09 00:00:00.0000,  1.391463326927226E+00,  1.004127587222286E-01, -3.210142850535814E-02, -4.705538364710027E-04,  1.515165909740965E-02,  3.289787717107482E-04,
2451553.500000000, A.D. 2000-Jan-10 00:00:00.0000,  1.390917054443860E+00,  1.155586817438689E-01, -3.177070867180782E-02, -6.219475696286668E-04,  1.513991487112592E-02,  3.324541121219672E-04,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000,  1.390219522158390E+00,  1.306920452641047E-01, -3.143653387210317E-02, -7.730701309228703E-04,  1.512654113438324E-02,  3.358886516414602E-04,
2451555.500000000, A.D. 2000-Jan-12 00:00:00.0000,  1.389371011198735E+00,  1.458112228827901E-01, -3.109894509014235E-02, -9.239016426745090E-04,  1.511154412738502E-02,  3.392820290870792E-04,
2451556.500000000, A.D. 2000-Jan-13 00:00:00.0000,  1.388371822487461E+00,  1.609145945844426E-01, -3.075798366305008E-02, -1.074422380099075E-03,  1.509493038542735E-02,  3.426338928522291E-04,
2451557.500000000, A.D. 2000-Jan-14 00:00:00.0000,  1.387222276584259E+00,  1.760005470201441E-01, -3.041369127090520E-02, -1.224612780474309E-03,  1.507670672595191E-02,  3.459439026322354E-04,
2451558.500000000, A.D. 2000-Jan-15 00:00:00.0000,  1.385922713524187E+00,  1.910674737859915E-01, -3.006610992664131E-02, -1.374453453172420E-03,  1.505688023741406E-02,  3.492117318865815E-04,
2451559.500000000, A.D. 2000-Jan-16 00:00:00.0000,  1.384473492652269E+00,  2.061137756966676E-01, -2.971528196644658E-02, -1.523925184520721E-03,  1.503545827264386E-02,  3.524370680544955E-04,
2451560.500000000, A.D. 2000-Jan-17 00:00:00.0000,  1.382874992453734E+00,  2.211378610533058E-01, -2.936125004026132E-02, -1.673008932420173E-03,  1.501244844458972E-02,  3.556196077636751E-04,
2451561.500000000, A.D. 2000-Jan-18 00:00:00.0000,  1.381127610379266E+00,  2.361381459067604E-01, -2.900405710192804E-02, -1.821685819413798E-03,  1.498785862538494E-02,  3.587590513746858E-04,
2451562.500000000, A.D. 2000-Jan-19 00:00:00.0000,  1.379231762665812E+00,  2.511130543177759E-01, -2.864374639912333E-02, -1.969937138279238E-03,  1.496169694751546E-02,  3.618551038977120E-04,
2451563.500000000, A.D. 2000-Jan-20 00:00:00.0000,  1.377187884153876E+00,  2.660610186136716E-01, -2.828036146353351E-02, -2.117744367437493E-03,  1.493397180295854E-02,  3.649074808404079E-04,
2451564.500000000, A.D. 2000-Jan-21 00:00:00.0000,  1.374996428101395E+00,  2.809804796397719E-01, -2.791394610134563E-02, -2.265089181998694E-03,  1.490469183983381E-02,  3.679159118711260E-04,
2451565.500000000, A.D. 2000-Jan-22 00:00:00.0000,  1.372657865993280E+00,  2.958698870048616E-01, -2.754454438355091E-02, -2.411953456416113E-03,  1.487386595506632E-02,  3.708801401062391E-04,
2451566.500000000, A.D. 2000-Jan-23 00:00:00.0000,  1.370172687346226E+00,  3.107276993217018E-01, -2.717220063572387E-02, -2.558319264590961E-03,  1.484150328059462E-02,  3.737999198620482E-04,
2451567.500000000, A.D. 2000-Jan-24 00:00:00.0000,  1.367541399509904E+00,  3.255523844435727E-01, -2.679695942772220E-02, -2.704168880217914E-03,  1.480761316922704E-02,  3.766750146978959E-04,
2451568.500000000, A.D. 2000-Jan-25 00:00:00.0000,  1.364764527465953E+00,  3.403424196963711E-01, -2.641886556400249E-02, -2.849484775822832E-03,  1.477220519240749E-02,  3.795051955287632E-04,
2451569.500000000, A.D. 2000-Jan-26 00:00:00.0000,  1.361842613624665E+00,  3.550962921052320E-01, -2.603796407447764E-02, -2.994249623006720E-03,  1.473528914973953E-02,  3.822902398424106E-04,
2451570.500000000, A.D. 2000-Jan-27 00:00:00.0000,  1.358776217617836E+00,  3.698124986155987E-01, -2.565430020512181E-02, -3.138446297415546E-03,  1.469687507283181E-02,  3.850299328396523E-04,
2451571.500000000, A.D. 2000-Jan-28 00:00:00.0000,  1.355565916087430E+00,  3.844895463098284E-01, -2.526791940792902E-02, -3.282057886422157E-03,  1.465697321560036E-02,  3.877240694848410E-04,
2451572.500000000, A.D. 2000-Jan-29 00:00:00.0000,  1.352212302471209E+00,  3.991259526197121E-01, -2.487886733077208E-02, -3.425067698286689E-03,  1.461559404062515E-02,  3.903724571952002E-04,
2451573.500000000, A.D. 2000-Jan-30 00:00:00.0000,  1.348715986786499E+00,  4.137202455339349E-01, -2.448718980777198E-02, -3.567459269052577E-03,  1.457274821031435E-02,  3.929749178690886E-04,
2451574.500000000, A.D. 2000-Jan-31 00:00:00.0000,  1.345077595411906E+00,  4.282709637992035E-01, -2.409293285003828E-02, -3.709216361214056E-03,  1.452844658058402E-02,  3.955312859629584E-04,
2451575.500000000, A.D. 2000-Feb-01 00:00:00.0000,  1.341297770866076E+00,  4.427766571153170E-01, -2.369614263623890E-02, -3.850322954282516E-03,  1.448270019469919E-02,  3.980414024933289E-04,
2451576.500000000, A.D. 2000-Feb-02 00:00:00.0000,  1.337377171583666E+00,  4.572358863258510E-01, -2.329686550291198E-02, -3.990763239409431E-03,  1.443552028139090E-02,  4.005051112693226E-04,
2451577.500000000, A.D. 2000-Feb-03 00:00:00.0000,  1.333316471689533E+00,  4.716472236052284E-01, -2.289514793495552E-02, -4.130521627654497E-03,  1.438691825665271E-02,  4.029222622055940E-04,
2451578.500000000, A.D. 2000-Feb-04 00:00:00.0000,  1.329116360771651E+00,  4.860092526409304E-01, -2.249103655655933E-02, -4.269582762856251E-03,  1.433690572352410E-02,  4.052927169591364E-04,
2451579.500000000, A.D. 2000-Feb-05 00:00:00.0000,  1.324777543652044E+00,  5.003205688094436E-01, -2.208457812223444E-02, -4.407931526786396E-03,  1.428549446704010E-02,  4.076163505195153E-04,
2451580.500000000, A.D. 2000-Feb-06 00:00:00.0000,  1.320300740154895E+00,  5.145797793463665E-01, -2.167581950741157E-02, -4.545553038287574E-03,  1.423269644297835E-02,  4.098930494970065E-04,
2451581.500000000, A.D. 2000-Feb-07 00:00:00.0000,  1.315686684872291E+00,  5.287855035120320E-01, -2.126480769870620E-02, -4.682432653017720E-03,  1.417852376234081E-02,  4.121227106136791E-04,
2451582.500000000, A.D. 2000-Feb-08 00:00:00.0000,  1.310936126929066E+00,  5.429363727528623E-01, -2.085158978454810E-02, -4.818555962759141E-03,  1.412298868072893E-02,  4.143052393858423E-04,
2451583.500000000, A.D. 2000-Feb-09 00:00:00.0000,  1.306049829747434E+00,  5.570310308574210E-01, -2.043621294654453E-02, -4.953908791418471E-03,  1.406610360117169E-02,  4.164405478259039E-04,
2451584.500000000, A.D. 2000-Feb-10 00:00:00.0000,  1.301028570810359E+00,  5.710681341067025E-01, -2.001872445103593E-02, -5.088477192901590E-03,  1.400788108317531E-02,  4.185285532217345E-04,
2451585.500000000, A.D. 2000-Feb-11 00:00:00.0000,  1.295873141422407E+00,  5.850463514195395E-01, -1.959917164011545E-02, -5.222247455745683E-03,  1.394833384139980E-02,  4.205691797245948E-04,
2451586.500000000, A.D. 2000-Feb-12 00:00:00.0000,  1.290584346468456E+00,  5.989643644940302E-01, -1.917760192222707E-02, -5.355206111655820E-03,  1.388747473337625E-02,  4.225623615069626E-04,
2451587.500000000, A.D. 2000-Feb-13 00:00:00.0000,  1.285163004171683E+00,  6.128208679445672E-01, -1.875406276305145E-02, -5.487339943429445E-03,  1.382531674837991E-02,  4.245080458601243E-04,
2451588.500000000, A.D. 2000-Feb-14 00:00:00.0000,  1.279609945851147E+00,  6.266145694329369E-01, -1.832860167691190E-02, -5.618635987232292E-03,  1.376187300079864E-02,  4.264061937417207E-04,
2451589.500000000, A.D. 2000-Feb-15 00:00:00.0000,  1.273926015678119E+00,  6.403441897929063E-01, -1.790126621822065E-02, -5.749081526067295E-03,  1.369715672266599E-02,  4.282567758567868E-04,
2451590.500000000, A.D. 2000-Feb-16 00:00:00.0000,  1.268112070430730E+00,  6.540084631494111E-01, -1.747210397261983E-02, -5.878664079404241E-03,  1.363118125611414E-02,  4.300597668017053E-04,
2451591.500000000, A.D. 2000-Feb-17 00:00:00.0000,  1.262168979247895E+00,  6.676061370337032E-01, -1.704116254816313E-02, -6.007371400997084E-03,  1.356396005275516E-02,  4.318151437109138E-04,
2451592.500000000, A.D. 2000-Feb-18 00:00:00.0000,  1.256097623383547E+00,  6.811359724941231E-01, -1.660848956700376E-02, -6.135191488232766E-03,  1.349550667726569E-02,  4.335228910160370E-04,
2451593.500000000, A.D. 2000-Feb-19 00:00:00.0000,  1.249898895960939E+00,  6.945967442008846E-01, -1.617413265746453E-02, -6.262112590600760E-03,  1.342583480652982E-02,  4.351830046743769E-04,
2451594.500000000, A.D. 2000-Feb-20 00:00:00.0000,  1.243573701726074E+00,  7.079872405443826E-01, -1.573813944591290E-02, -6.388123209929672E-03,  1.335495822109163E-02,  4.367954919547350E-04,
2451595.500000000, A.D. 2000-Feb-21 00:00:00.0000,  1.237122956800194E+00,  7.213062637282563E-01, -1.530055754822786E-02, -6.513212098184287E-03,  1.328289079067710E-02,  4.383603698038066E-04,
2451596.500000000, A.D. 2000-Feb-22 00:00:00.0000,  1.230547588432602E+00,  7.345526298581846E-01, -1.486143456137711E-02, -6.637368256986525E-03,  1.320964645977681E-02,  4.398776642662647E-04,
2451597.500000000, A.D. 2000-Feb-23 00:00:00.0000,  1.223848534755117E+00,  7.477251690258047E-01, -1.442081805573566E-02, -6.760580933983516E-03,  1.313523924198958E-02,  4.413474088877820E-04,
2451598.500000000, A.D. 2000-Feb-24 00:00:00.0000,  1.217026744537946E+00,  7.608227253868771E-01, -1.397875556803195E-02, -6.882839614810637E-03,  1.305968322607025E-02,  4.427696414093817E-04,
2451599.500000000, A.D. 2000-Feb-25 00:00:00.0000,  1.210083176945623E+00,  7.738441572342856E-01, -1.353529459416087E-02, -7.004134019733333E-03,  1.298299258223844E-02,  4.441444026728464E-04,
2451600.500000000, A.D. 2000-Feb-26 00:00:00.0000,  1.203018801292536E+00,  7.867883370672618E-01, -1.309048258151195E-02, -7.124454109154667E-03,  1.290518155673644E-02,  4.454717394234887E-04,
2451601.500000000, A.D. 2000-Feb-27 00:00:00.0000,  1.195834596799157E+00,  7.996541516571627E-01, -1.264436692132115E-02, -7.243790091688226E-03,  1.282626446030662E-02,  4.467517083787879E-04,
2451602.500000000, A.D. 2000-Feb-28 00:00:00.0000,  1.188531552349953E+00,  8.124405021086589E-01, -1.219699494158756E-02, -7.362132428436216E-03,  1.274625566064903E-02,  4.479843785492187E-04,
2451603.500000000, A.D. 2000-Feb-29 00:00:00.0000,  1.181110666252279E+00,  8.251463039151815E-01, -1.174841390031896E-02, -7.479471829222316E-03,  1.266516957685876E-02,  4.491698297220667E-04,
2451604.500000000, A.D. 2000-Mar-01 00:00:00.0000,  1.173572945995494E+00,  8.377704870092310E-01, -1.129867097854760E-02, -7.595799242333229E-03,  1.258302067061154E-02,  4.503081474085889E-04,
2451605.500000000, A.D. 2000-Mar-02 00:00:00.0000,  1.165919408010541E+00,  8.503119958090952E-01, -1.084781327318132E-02, -7.711105845037065E-03,  1.249982344004934E-02,  4.513994183271387E-04,
