JDTDB, Fecha, X, Y, Z, VX, VY, Vz,
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000, -1.407280797108344E-01, -4.439009580270337E-01, -2.334555919971206E-02,  2.116887135892671E-02, -7.097975420557316E-03, -2.522831030718983E-03,
2451545.500000000, A.D. 2000-Jan-02 00:00:00.0000, -1.193643156359173E-01, -4.503482885887847E-01, -2.583312722353769E-02,  2.154813010538361E-02, -5.794048842360385E-03, -2.451123413342585E-03,
2451546.500000000, A.D. 2000-Jan-03 00:00:00.0000, -9.765290341661273E-02, -4.554840354341060E-01, -2.824546071952060E-02,  2.186413200061621E-02, -4.475059696647454E-03, -2.372379265386482E-03,
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000, -7.565723261917279E-02, -4.592938835899954E-01, -3.057557204716084E-02,  2.211658566602175E-02, -3.142496400324587E-03, -2.286693432091355E-03,
2451548.500000000, A.D. 2000-Jan-05 00:00:00.0000, -5.344106289190317E-02, -4.617649899888233E-01, -3.281655983852584E-02,  2.230504146854550E-02, -1.797818156935288E-03, -2.194143846774290E-03,
2451549.500000000, A.D. 2000-Jan-06 00:00:00.0000, -3.106868471347451E-02, -4.628859657251651E-01, -3.496159279443063E-02,  2.242888658042145E-02, -4.424779493639884E-04, -2.094792955666119E-03,
2451550.500000000, A.D. 2000-Jan-07 00:00:00.0000, -8.605084943394861E-03, -4.626468815190956E-01, -3.700389493559263E-02,  2.248734031243052E-02,  9.220539826600997E-04, -1.988689207457069E-03,
2451551.500000000, A.D. 2000-Jan-08 00:00:00.0000,  1.388388309897918E-02, -4.610392970450953E-01, -3.893673238772231E-02,  2.247944972913452E-02,  2.294265828952825E-03, -1.875868637025274E-03,
2451552.500000000, A.D. 2000-Jan-09 00:00:00.0000,  3.633132533437339E-02, -4.580563151453635E-01, -4.075340181199583E-02,  2.240408560608078E-02,  3.672578690657495E-03, -1.756356578957750E-03,
2451553.500000000, A.D. 2000-Jan-10 00:00:00.0000,  5.866912879797229E-02, -4.536926623247192E-01, -4.244722063134927E-02,  2.225993884619090E-02,  5.055319468655280E-03, -1.630169553380748E-03,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000,  8.082778023294566E-02, -4.479447973242959E-01, -4.401151924940231E-02,  2.204551753816818E-02,  6.440691746930360E-03, -1.497317374510554E-03,
2451555.500000000, A.D. 2000-Jan-12 00:00:00.0000,  1.027361821681176E-01, -4.408110499951688E-01, -4.543963551367362E-02,  2.175914491685546E-02,  7.826744234508307E-03, -1.357805541430925E-03,
2451556.500000000, A.D. 2000-Jan-13 00:00:00.0000,  1.243214675493378E-01, -4.322917931420156E-01, -4.672491173937786E-02,  2.139895857756193E-02,  9.211336304492524E-03, -1.211637981105363E-03,
2451557.500000000, A.D. 2000-Jan-14 00:00:00.0000,  1.455088143999156E-01, -4.223896504803112E-01, -4.786069468601514E-02,  2.096291140747672E-02,  1.059210014543988E-02, -1.058820225731730E-03,
2451558.500000000, A.D. 2000-Jan-15 00:00:00.0000,  1.662212625137729E-01, -4.111097443450022E-01, -4.884033896784314E-02,  2.044877483199176E-02,  1.196639902210336E-02, -8.993631203986183E-04,
2451559.500000000, A.D. 2000-Jan-16 00:00:00.0000,  1.863795348619101E-01, -3.984599872968608E-01, -4.965721448297650E-02,  1.985414513723749E-02,  1.333128113414364E-02, -7.332871726962757E-04,
2451560.500000000, A.D. 2000-Jan-17 00:00:00.0000,  2.059018672499323E-01, -3.844514222818043E-01, -5.030471856611762E-02,  1.917645382808863E-02,  1.468342856945009E-02, -5.606276734475255E-04,
2451561.500000000, A.D. 2000-Jan-18 00:00:00.0000,  2.247038508392486E-01, -3.690986164875504E-01, -5.077629370853533E-02,  1.841298321935872E-02,  1.601910088250839E-02, -3.814407368505451E-04,
2451562.500000000, A.D. 2000-Jan-19 00:00:00.0000,  2.426982934806405E-01, -3.524201144792369E-01, -5.106545184725942E-02,  1.756088874287520E-02,  1.733407290054111E-02, -1.958104285764642E-04,
2451563.500000000, A.D. 2000-Jan-20 00:00:00.0000,  2.597951074554826E-01, -3.344389565344302E-01, -5.116580640426836E-02,  1.661722978990714E-02,  1.862356648810449E-02, -3.857170823418741E-06,
2451564.500000000, A.D. 2000-Jan-21 00:00:00.0000,  2.759012332307206E-01, -3.151832682717094E-01, -5.107111345520705E-02,  1.557901130046682E-02,  1.988217620724335E-02,  1.942523675493138E-04,
2451565.500000000, A.D. 2000-Jan-22 00:00:00.0000,  2.909206112643705E-01, -2.946869275830803E-01, -5.077532362341321E-02,  1.444323875817357E-02,  2.110378912488647E-02,  3.982936723381001E-04,
2451566.500000000, A.D. 2000-Jan-23 00:00:00.0000,  3.047542168013510E-01, -2.729903144124693E-01, -5.027264652325794E-02,  1.320698974518790E-02,  2.228149947977977E-02,  6.079708454124098E-04,
2451567.500000000, A.D. 2000-Jan-24 00:00:00.0000,  3.173001760162430E-01, -2.501411479017093E-01, -4.955762980702398E-02,  1.186750573945846E-02,  2.340751957492257E-02,  8.229008998427341E-04,
