JDTDB, Fecha, X, Y, Z, VX, VY, Vz,
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  1.681075772645342E+01, -2.499265127854981E+01,  1.272705717411974E-01,  2.579216842393203E-03,  1.776355179312822E-03, -9.620004297114809E-05,
2451545.500000000, A.D. 2000-Jan-02 00:00:00.0000,  1.681333665661378E+01, -2.499087473303916E+01,  1.271745600249854E-01,  2.578713410740723E-03,  1.776806251132225E-03, -9.580431922028511E-05,
2451546.500000000, A.D. 2000-Jan-03 00:00:00.0000,  1.681591531801891E+01, -2.498909758517276E+01,  1.270789259748900E-01,  2.578694062475820E-03,  1.777491868101244E-03, -9.551889077760225E-05,
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000,  1.681849414897232E+01, -2.498731981842213E+01,  1.269833822908660E-01,  2.578981253102042E-03,  1.777973026158124E-03, -9.564152512626157E-05,
2451548.500000000, A.D. 2000-Jan-05 00:00:00.0000,  1.682107321378038E+01, -2.498554178560946E+01,  1.268875466943818E-01,  2.579077851592871E-03,  1.778022846668556E-03, -9.604583775972537E-05,
2451549.500000000, A.D. 2000-Jan-06 00:00:00.0000,  1.682365213613244E+01, -2.498376384280814E+01,  1.267913387008205E-01,  2.578684983999298E-03,  1.777862152335428E-03, -9.631316958350510E-05,
2451550.500000000, A.D. 2000-Jan-07 00:00:00.0000,  1.682623048968215E+01, -2.498198597951767E+01,  1.266950632821199E-01,  2.578012563141042E-03,  1.777931515556345E-03, -9.616691972532106E-05,
2451551.500000000, A.D. 2000-Jan-08 00:00:00.0000,  1.682880824077226E+01, -2.498020782974154E+01,  1.265990941098291E-01,  2.577560301711652E-03,  1.778432856371052E-03, -9.575965381905773E-05,
2451552.500000000, A.D. 2000-Jan-09 00:00:00.0000,  1.683138578314198E+01, -2.497842905182094E+01,  1.265034857341767E-01,  2.577599950548623E-03,  1.779118833726900E-03, -9.551546755997972E-05,
2451553.500000000, A.D. 2000-Jan-10 00:00:00.0000,  1.683396352920997E+01, -2.497664968331932E+01,  1.264079168533632E-01,  2.577893354406004E-03,  1.779550823524174E-03, -9.568934858125807E-05,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000,  1.683654148177241E+01, -2.497487010176334E+01,  1.263120240193463E-01,  2.577938021290550E-03,  1.779553547132162E-03, -9.610200506013259E-05,
2451555.500000000, A.D. 2000-Jan-12 00:00:00.0000,  1.683911923111382E+01, -2.497309063281304E+01,  1.262157789460158E-01,  2.577489685729703E-03,  1.779396481884390E-03, -9.632655232142548E-05,
2451556.500000000, A.D. 2000-Jan-13 00:00:00.0000,  1.684169638038813E+01, -2.497131121193666E+01,  1.261195179479860E-01,  2.576816042372739E-03,  1.779515347332773E-03, -9.613134854944280E-05,
2451557.500000000, A.D. 2000-Jan-14 00:00:00.0000,  1.684427295771641E+01, -2.496953145159795E+01,  1.260235926353137E-01,  2.576417798472077E-03,  1.780059617963763E-03, -9.572012585118658E-05,
2451558.500000000, A.D. 2000-Jan-15 00:00:00.0000,  1.684684938691090E+01, -2.496775104338020E+01,  1.259280049607527E-01,  2.576509461866477E-03,  1.780736949426864E-03, -9.552083183006039E-05,
2451559.500000000, A.D. 2000-Jan-16 00:00:00.0000,  1.684942604748791E+01, -2.496597007848215E+01,  1.258324050645252E-01,  2.576797392906300E-03,  1.781117594085693E-03, -9.574134067867992E-05,
2451560.500000000, A.D. 2000-Jan-17 00:00:00.0000,  1.685200288058920E+01, -2.496418895287666E+01,  1.257364545688108E-01,  2.576784116041114E-03,  1.781080265392136E-03, -9.615348955157976E-05,
2451561.500000000, A.D. 2000-Jan-18 00:00:00.0000,  1.685457944994498E+01, -2.496240795639856E+01,  1.256401778953731E-01,  2.576285400689958E-03,  1.780937381901314E-03, -9.633043743292008E-05,
2451562.500000000, A.D. 2000-Jan-19 00:00:00.0000,  1.685715539481637E+01, -2.496062697157400E+01,  1.255439369926629E-01,  2.575621423702898E-03,  1.781110859127149E-03, -9.608977877111732E-05,
2451563.500000000, A.D. 2000-Jan-20 00:00:00.0000,  1.685973080442196E+01, -2.495884559580997E+01,  1.254480554778248E-01,  2.575283734023116E-03,  1.781693726991753E-03, -9.568277855469333E-05,
2451564.500000000, A.D. 2000-Jan-21 00:00:00.0000,  1.686230612533607E+01, -2.495706355906369E+01,  1.253524827355443E-01,  2.575424897870054E-03,  1.782353510867645E-03, -9.553348402120503E-05,
2451565.500000000, A.D. 2000-Jan-22 00:00:00.0000,  1.686488169775271E+01, -2.495528100436745E+01,  1.252568464327389E-01,  2.575700012428772E-03,  1.782677894060152E-03, -9.579828728264387E-05,
2451566.500000000, A.D. 2000-Jan-23 00:00:00.0000,  1.686745740238534E+01, -2.495349833919180E+01,  1.251608390770258E-01,  2.575624450118986E-03,  1.782602757150687E-03, -9.620337814765379E-05,
2451567.500000000, A.D. 2000-Jan-24 00:00:00.0000,  1.687003278420269E+01, -2.495171581258032E+01,  1.250645372594522E-01,  2.575077778740377E-03,  1.782479002827670E-03, -9.632925381309105E-05,
2451568.500000000, A.D. 2000-Jan-25 00:00:00.0000,  1.687260752495247E+01, -2.494993325639630E+01,  1.249683221456610E-01,  2.574428531889372E-03,  1.782708709371316E-03, -9.604601711315778E-05,
2451569.500000000, A.D. 2000-Jan-26 00:00:00.0000,  1.687518177337453E+01, -2.494815026018447E+01,  1.248724836795357E-01,  2.574151663554820E-03,  1.783326939624608E-03, -9.564853198831740E-05,
2451570.500000000, A.D. 2000-Jan-27 00:00:00.0000,  1.687775599084444E+01, -2.494636659715391E+01,  1.247769195754363E-01,  2.574336369135552E-03,  1.783965514170193E-03, -9.555058645355627E-05,
2451571.500000000, A.D. 2000-Jan-28 00:00:00.0000,  1.688033047208841E+01, -2.494458245978965E+01,  1.246812415512512E-01,  2.574592865077801E-03,  1.784235367484170E-03, -9.585502178754935E-05,
2451572.500000000, A.D. 2000-Jan-29 00:00:00.0000,  1.688290503925208E+01, -2.494279825985847E+01,  1.245851784730289E-01,  2.574456344836235E-03,  1.784129395587548E-03, -9.624701816254075E-05,
2451573.500000000, A.D. 2000-Jan-30 00:00:00.0000,  1.688547922635437E+01, -2.494101420099697E+01,  1.244888579175155E-01,  2.573870460330365E-03,  1.784030057174516E-03, -9.632124136178683E-05,
2451574.500000000, A.D. 2000-Jan-31 00:00:00.0000,  1.688805276330357E+01, -2.493923006710774E+01,  1.243926736722378E-01,  2.573244912393069E-03,  1.784313416125488E-03, -9.600193765228952E-05,
2451575.500000000, A.D. 2000-Feb-01 00:00:00.0000,  1.689062585605130E+01, -2.493744544685732E+01,  1.242968769210535E-01,  2.573029475220909E-03,  1.784957760245421E-03, -9.562165145823100E-05,
2451576.500000000, A.D. 2000-Feb-02 00:00:00.0000,  1.689319897297432E+01, -2.493566016070022E+01,  1.242013153787440E-01,  2.573248524999821E-03,  1.785566601684147E-03, -9.557639231267531E-05,
2451577.500000000, A.D. 2000-Feb-03 00:00:00.0000,  1.689577235839085E+01, -2.493387444742745E+01,  1.241055914123453E-01,  2.573475454046965E-03,  1.785781403110079E-03, -9.591401313498506E-05,
2451578.500000000, A.D. 2000-Feb-04 00:00:00.0000,  1.689834577896527E+01, -2.493208871625386E+01,  1.240094748473042E-01,  2.573274808007103E-03,  1.785652693193278E-03, -9.628456254534016E-05,
2451579.500000000, A.D. 2000-Feb-05 00:00:00.0000,  1.690091876568758E+01, -2.493030312208201E+01,  1.239131420285280E-01,  2.572656003343206E-03,  1.785587147759676E-03, -9.630446817368220E-05,
2451580.500000000, A.D. 2000-Feb-06 00:00:00.0000,  1.690349110101380E+01, -2.492851740466565E+01,  1.238169926404311E-01,  2.572063268994710E-03,  1.785926650211200E-03, -9.595422927221490E-05,
2451581.500000000, A.D. 2000-Feb-07 00:00:00.0000,  1.690606304435374E+01, -2.492673115884892E+01,  1.237212348588975E-01,  2.571912985042415E-03,  1.786591913805059E-03, -9.559855505718088E-05,
2451582.500000000, A.D. 2000-Feb-08 00:00:00.0000,  1.690863506290886E+01, -2.492494425519069E+01,  1.236256691629744E-01,  2.572162485545198E-03,  1.787164285194309E-03, -9.560834737885761E-05,
2451583.500000000, A.D. 2000-Feb-09 00:00:00.0000,  1.691120734644536E+01, -2.492315697435587E+01,  1.235298955413447E-01,  2.572354084716102E-03,  1.787321904747035E-03, -9.597496800547637E-05,
2451584.500000000, A.D. 2000-Feb-10 00:00:00.0000,  1.691377961046824E+01, -2.492136971578049E+01,  1.234337287115251E-01,  2.572088917795120E-03,  1.787173572699009E-03, -9.631872450395013E-05,
2451585.500000000, A.D. 2000-Feb-11 00:00:00.0000,  1.691635139138497E+01, -2.491958258296406E+01,  1.233373905990416E-01,  2.571442321939505E-03,  1.787145193143861E-03, -9.628383654100758E-05,
2451586.500000000, A.D. 2000-Feb-12 00:00:00.0000,  1.691892252808080E+01, -2.491779527620204E+01,  1.232412797440011E-01,  2.570886201854861E-03,  1.787539142158626E-03, -9.590751694832481E-05,
2451587.500000000, A.D. 2000-Feb-13 00:00:00.0000,  1.692149332896231E+01, -2.491600740375589E+01,  1.231455576111089E-01,  2.570798021537605E-03,  1.788219761274716E-03, -9.558108849754162E-05,
2451588.500000000, A.D. 2000-Feb-14 00:00:00.0000,  1.692406425185053E+01, -2.491421888871043E+01,  1.230499808810472E-01,  2.571069897550396E-03,  1.788753192944651E-03, -9.564446537856051E-05,
2451589.500000000, A.D. 2000-Feb-15 00:00:00.0000,  1.692663542846280E+01, -2.491243004881571E+01,  1.229541541551289E-01,  2.571220970865135E-03,  1.788858561984905E-03, -9.603313866946986E-05,
2451590.500000000, A.D. 2000-Feb-16 00:00:00.0000,  1.692920652780877E+01, -2.491064126670342E+01,  1.228579404001676E-01,  2.570895533483288E-03,  1.788699496988520E-03, -9.634468860765805E-05,
2451591.500000000, A.D. 2000-Feb-17 00:00:00.0000,  1.693177709965542E+01, -2.490885259245569E+01,  1.227616033831694E-01,  2.570232498405820E-03,  1.788713127843508E-03, -9.625709245873839E-05,
2451592.500000000, A.D. 2000-Feb-18 00:00:00.0000,  1.693434704216491E+01, -2.490706369176872E+01,  1.226655336759476E-01,  2.569721518018477E-03,  1.789157144754130E-03, -9.586290208466140E-05,
2451593.500000000, A.D. 2000-Feb-19 00:00:00.0000,  1.693691670755141E+01, -2.490527419285299E+01,  1.225698432454130E-01,  2.569693527074830E-03,  1.789842539984293E-03, -9.557256625209990E-05,
2451594.500000000, A.D. 2000-Feb-20 00:00:00.0000,  1.693948653658804E+01, -2.490348407259758E+01,  1.224742490824419E-01,  2.569977674584869E-03,  1.790329557625868E-03, -9.568862627048996E-05,
2451595.500000000, A.D. 2000-Feb-21 00:00:00.0000,  1.694205660088627E+01, -2.490169368046851E+01,  1.223783670965339E-01,  2.570079204405680E-03,  1.790384958781018E-03, -9.609155388153024E-05,
2451596.500000000, A.D. 2000-Feb-22 00:00:00.0000,  1.694462652862793E+01, -2.489990337593213E+01,  1.222821107898757E-01,  2.569692963031684E-03,  1.790224202756044E-03, -9.636374084980846E-05,
2451597.500000000, A.D. 2000-Feb-23 00:00:00.0000,  1.694719589054283E+01, -2.489811315502273E+01,  1.221857811750875E-01,  2.569020666579516E-03,  1.790287107132534E-03, -9.622354211779432E-05,
2451598.500000000, A.D. 2000-Feb-24 00:00:00.0000,  1.694976464555846E+01, -2.489632265468538E+01,  1.220897541611576E-01,  2.568561553475396E-03,  1.790781398923207E-03, -9.581766682256393E-05,
2451599.500000000, A.D. 2000-Feb-25 00:00:00.0000,  1.695233318332736E+01, -2.489453152948170E+01,  1.219940903870603E-01,  2.568593398850552E-03,  1.791466537257988E-03, -9.556875082687499E-05,
2451600.500000000, A.D. 2000-Feb-26 00:00:00.0000,  1.695490191974143E+01, -2.489273981033345E+01,  1.218984721976902E-01,  2.568884502496979E-03,  1.791903418332175E-03, -9.573674970406975E-05,
2451601.500000000, A.D. 2000-Feb-27 00:00:00.0000,  1.695747086508261E+01, -2.489094787217313E+01,  1.218025335315243E-01,  2.568933584916713E-03,  1.791910669630199E-03, -9.614861024452391E-05,
2451602.500000000, A.D. 2000-Feb-28 00:00:00.0000,  1.696003961332087E+01, -2.488915604487416E+01,  1.217062399299719E-01,  2.568490049813549E-03,  1.791752594440873E-03, -9.637797949520504E-05,
2451603.500000000, A.D. 2000-Feb-29 00:00:00.0000,  1.696260776376882E+01, -2.488736427047051E+01,  1.216099243690928E-01,  2.567814712045507E-03,  1.791865199618333E-03, -9.618795621740436E-05,
2451604.500000000, A.D. 2000-Mar-01 00:00:00.0000,  1.696517533704517E+01, -2.488557216359273E+01,  1.215139414403212E-01,  2.567408786376939E-03,  1.792404289357551E-03, -9.577669861769471E-05,
2451605.500000000, A.D. 2000-Mar-02 00:00:00.0000,  1.696774275362244E+01, -2.488377941140444E+01,  1.214182992600780E-01,  2.567493395037145E-03,  1.793083048517050E-03, -9.557184513359907E-05,
2451606.500000000, A.D. 2000-Mar-03 00:00:00.0000,  1.697031039716956E+01, -2.488198609864226E+01,  1.213226509821976E-01,  2.567781247051192E-03,  1.793469667289543E-03, -9.578711796299873E-05,
2451607.500000000, A.D. 2000-Mar-04 00:00:00.0000,  1.697287821621132E+01, -2.488019261942761E+01,  1.212266549572210E-01,  2.567774402720479E-03,  1.793436242204228E-03, -9.619999772848549E-05,
2451608.500000000, A.D. 2000-Mar-05 00:00:00.0000,  1.697544577731387E+01, -2.487839926826008E+01,  1.211303294936765E-01,  2.567280548277780E-03,  1.793290394134775E-03, -9.638286708063892E-05,
2451609.500000000, A.D. 2000-Mar-06 00:00:00.0000,  1.697801271517647E+01, -2.487660593402048E+01,  1.210340338833155E-01,  2.566613410168769E-03,  1.793455583364133E-03, -9.614743857060629E-05,
2451610.500000000, A.D. 2000-Mar-07 00:00:00.0000,  1.698057911176630E+01, -2.487481221546534E+01,  1.209380953435116E-01,  2.566266561871927E-03,  1.794032776778156E-03, -9.573956928122799E-05,
2451611.500000000, A.D. 2000-Mar-08 00:00:00.0000,  1.698314541127804E+01, -2.487301783758817E+01,  1.208424693269649E-01,  2.566399727083336E-03,  1.794694912212767E-03, -9.558371486475329E-05,
2451612.500000000, A.D. 2000-Mar-09 00:00:00.0000,  1.698571195880835E+01, -2.487122293736089E+01,  1.207467857347789E-01,  2.566674460062872E-03,  1.795026070665430E-03, -9.584303401966801E-05,
