JDTDB, Fecha, X, Y, Z, VX, VY, Vz,
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  6.408556035505925E+00,  6.568042752621957E+00, -3.691272880681217E-01, -4.290540498899068E-03,  3.891990893152464E-03,  1.026097543467762E-04,
2451545.500000000, A.D. 2000-Jan-02 00:00:00.0000,  6.404264153015498E+00,  6.571933554203184E+00, -3.690246356027881E-01, -4.293219133207689E-03,  3.889607860058282E-03,  1.026968731909235E-04,
2451546.500000000, A.D. 2000-Jan-03 00:00:00.0000,  6.399969568849152E+00,  6.575821954977211E+00, -3.689218847449394E-01, -4.295960424572788E-03,  3.887171226996319E-03,  1.028173644193276E-04,
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000,  6.395672242029391E+00,  6.579707855586865E+00, -3.688189811560600E-01, -4.298685604985768E-03,  3.884620212356462E-03,  1.029940705848438E-04,
2451548.500000000, A.D. 2000-Jan-05 00:00:00.0000,  6.391372204258073E+00,  6.583591175998873E+00, -3.687158873750521E-01, -4.301389046997622E-03,  3.882009390189675E-03,  1.031988951564623E-04,
2451549.500000000, A.D. 2000-Jan-06 00:00:00.0000,  6.387069475300901E+00,  6.587471847534890E+00, -3.686125710094332E-01, -4.304065545525131E-03,  3.879323535877259E-03,  1.034388028225192E-04,
2451550.500000000, A.D. 2000-Jan-07 00:00:00.0000,  6.382764088021698E+00,  6.591349777834243E+00, -3.685089877891397E-01, -4.306677870874978E-03,  3.876510023150634E-03,  1.037383406963536E-04,
2451551.500000000, A.D. 2000-Jan-08 00:00:00.0000,  6.378456199604759E+00,  6.595224868365558E+00, -3.684051029792211E-01, -4.309082800468103E-03,  3.873687729319376E-03,  1.040209549865819E-04,
2451552.500000000, A.D. 2000-Jan-09 00:00:00.0000,  6.374145942967658E+00,  6.599097161678267E+00, -3.683009525295815E-01, -4.311412337471304E-03,  3.870898333016092E-03,  1.042781345922536E-04,
2451553.500000000, A.D. 2000-Jan-10 00:00:00.0000,  6.369833418994236E+00,  6.602966685707302E+00, -3.681965618296157E-01, -4.313622826688017E-03,  3.868168633194259E-03,  1.044922925224354E-04,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000,  6.365518705365647E+00,  6.606833530143373E+00, -3.680919851066305E-01, -4.315797705362924E-03,  3.865529356572161E-03,  1.046555412354005E-04,
2451555.500000000, A.D. 2000-Jan-12 00:00:00.0000,  6.361201833178904E+00,  6.610697781440975E+00, -3.679872708567895E-01, -4.317953993599350E-03,  3.862987928446960E-03,  1.047661264197561E-04,
