JDTDB, Fecha, X, Y, Z, VX, VY, Vz,
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000, -1.685246483858782E-01,  9.687833049070306E-01, -4.120490278477264E-06, -1.723394583247693E-02, -3.007660249861311E-03,  3.562572888400974E-08,
2451545.500000000, A.D. 2000-Jan-02 00:00:00.0000, -1.857320406313475E-01,  9.656245544563299E-01, -4.015775185238754E-06, -1.717990738552740E-02, -3.309713874007217E-03,  1.727104065518102E-07,
2451546.500000000, A.D. 2000-Jan-03 00:00:00.0000, -2.028825984064989E-01,  9.621641552292697E-01, -3.778083514021907E-06, -1.712027499282478E-02, -3.610933231485126E-03,  3.007676101114968E-07,
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000, -2.199707235741132E-01,  9.584030155107923E-01, -3.418806058993552E-06, -1.705504176957904E-02, -3.911169964348677E-03,  4.151398869803863E-07,
2451548.500000000, A.D. 2000-Jan-05 00:00:00.0000, -2.369908156160287E-01,  9.543421929793223E-01, -2.953785990266823E-06, -1.698420987665655E-02, -4.210273582382942E-03,  5.115801449362205E-07,
2451549.500000000, A.D. 2000-Jan-06 00:00:00.0000, -2.539372809163121E-01,  9.499828969542816E-01, -2.402894950122547E-06, -1.690779110604937E-02, -4.508091310965086E-03,  5.862911733644194E-07,
2451550.500000000, A.D. 2000-Jan-07 00:00:00.0000, -2.708045428934093E-01,  9.453264905226629E-01, -1.789535529723055E-06, -1.682580792505980E-02, -4.804468515189545E-03,  6.360297060038252E-07,
2451551.500000000, A.D. 2000-Jan-08 00:00:00.0000, -2.875870532378524E-01,  9.403744919164041E-01, -1.140018331844202E-06, -1.673829458120685E-02, -5.099249767089645E-03,  6.582480793285784E-07,
2451552.500000000, A.D. 2000-Jan-09 00:00:00.0000, -3.042793041501021E-01,  9.351285745486591E-01, -4.827913804714873E-07, -1.664529795849693E-02, -5.392280426447305E-03,  6.512431176990920E-07,
2451553.500000000, A.D. 2000-Jan-10 00:00:00.0000, -3.208758412452176E-01,  9.295905653106025E-01,  1.524728970990632E-07, -1.654687804944139E-02, -5.683408496643299E-03,  6.142895007643606E-07,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000, -3.373712767578406E-01,  9.237624409690548E-01,  7.359129747957521E-07, -1.644310811020852E-02, -5.972486541410878E-03,  5.477516645335404E-07,
2451555.500000000, A.D. 2000-Jan-12 00:00:00.0000, -3.537603028294551E-01,  9.176463226464916E-01,  1.238619702748004E-06, -1.633407471061908E-02, -6.259373615812090E-03,  4.531879838028069E-07,
