JDTDB, Fecha, X, Y, Z, VX, VY, Vz,
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  1.443051609648136E+01, -1.373565967460644E+01, -2.381293855338772E-01,  2.678465627884438E-03,  2.672426903071822E-03, -2.475113494134723E-05,
2451545.500000000, A.D. 2000-Jan-02 00:00:00.0000,  1.443319433534571E+01, -1.373298701225974E+01, -2.381541846446888E-01,  2.677975387100389E-03,  2.672900482523600E-03, -2.488358001493920E-05,
2451546.500000000, A.D. 2000-Jan-03 00:00:00.0000,  1.443587194983744E+01, -1.373031384912820E+01, -2.381791335679278E-01,  2.677228651367164E-03,  2.673438531312933E-03, -2.496010329125365E-05,
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000,  1.443854885236362E+01, -1.372764013583604E+01, -2.382040137099920E-01,  2.676627596518930E-03,  2.673976010643256E-03, -2.480903658403568E-05,
2451548.500000000, A.D. 2000-Jan-05 00:00:00.0000,  1.444122521367179E+01, -1.372496590779515E+01, -2.382288119835369E-01,  2.676070160012910E-03,  2.674485115252159E-03, -2.479052145655874E-05,
2451549.500000000, A.D. 2000-Jan-06 00:00:00.0000,  1.444390098504126E+01, -1.372229115792872E+01, -2.382535545701629E-01,  2.675495988866638E-03,  2.675011544003304E-03, -2.467687794699681E-05,
2451550.500000000, A.D. 2000-Jan-07 00:00:00.0000,  1.444657625691860E+01, -1.371961590008091E+01, -2.382781968402777E-01,  2.675039023521784E-03,  2.675500998144341E-03, -2.464542850326283E-05,
2451551.500000000, A.D. 2000-Jan-08 00:00:00.0000,  1.444925100278973E+01, -1.371694014237101E+01, -2.383028384594568E-01,  2.674454738257217E-03,  2.676019851299672E-03, -2.459733825422183E-05,
2451552.500000000, A.D. 2000-Jan-09 00:00:00.0000,  1.445192524350142E+01, -1.371426387422022E+01, -2.383273695503203E-01,  2.674063300295283E-03,  2.676503284687976E-03, -2.449912459940299E-05,
2451553.500000000, A.D. 2000-Jan-10 00:00:00.0000,  1.445459911206536E+01, -1.371158714634759E+01, -2.383519433460431E-01,  2.673616257074576E-03,  2.676961193126728E-03, -2.467552899049433E-05,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000,  1.445727239968477E+01, -1.370890992723588E+01, -2.383766612055438E-01,  2.672973219117610E-03,  2.677479584525530E-03, -2.472216648688269E-05,
2451555.500000000, A.D. 2000-Jan-12 00:00:00.0000,  1.445994509727934E+01, -1.370623219616826E+01, -2.384013885728418E-01,  2.672418416304621E-03,  2.677980753273491E-03, -2.475014151246082E-05,
2451556.500000000, A.D. 2000-Jan-13 00:00:00.0000,  1.446261719529165E+01, -1.370355395613974E+01, -2.384261608230484E-01,  2.671764354527682E-03,  2.678506287488821E-03, -2.476232417494648E-05,
2451557.500000000, A.D. 2000-Jan-14 00:00:00.0000,  1.446528868239102E+01, -1.370087518941967E+01, -2.384508666386847E-01,  2.671246080145878E-03,  2.679015887267420E-03, -2.467550049244468E-05,
2451558.500000000, A.D. 2000-Jan-15 00:00:00.0000,  1.446795965931378E+01, -1.369819592841047E+01, -2.384755814761797E-01,  2.670665477868921E-03,  2.679515818385625E-03, -2.475240416965399E-05,
2451559.500000000, A.D. 2000-Jan-16 00:00:00.0000,  1.447062998174328E+01, -1.369551614026354E+01, -2.385002961983604E-01,  2.670010412091752E-03,  2.680059375729476E-03, -2.463277522421639E-05,
2451560.500000000, A.D. 2000-Jan-17 00:00:00.0000,  1.447329977987727E+01, -1.369283583340232E+01, -2.385248632378579E-01,  2.669598175712854E-03,  2.680544031359719E-03, -2.455616929568649E-05,
2451561.500000000, A.D. 2000-Jan-18 00:00:00.0000,  1.447596911839888E+01, -1.369015504649312E+01, -2.385494583679055E-01,  2.669054626397591E-03,  2.681037667458586E-03, -2.461842841615149E-05,
2451562.500000000, A.D. 2000-Jan-19 00:00:00.0000,  1.447863789648002E+01, -1.368747375552997E+01, -2.385740688067984E-01,  2.668518790934806E-03,  2.681539615668941E-03, -2.460695329856621E-05,
2451563.500000000, A.D. 2000-Jan-20 00:00:00.0000,  1.448130614017967E+01, -1.368479196958566E+01, -2.385987175122180E-01,  2.667926945461976E-03,  2.682040968617167E-03, -2.469136841949405E-05,
2451564.500000000, A.D. 2000-Jan-21 00:00:00.0000,  1.448397372614497E+01, -1.368210965677531E+01, -2.386233676687324E-01,  2.667284816983845E-03,  2.682581049653595E-03, -2.457468469154875E-05,
2451565.500000000, A.D. 2000-Jan-22 00:00:00.0000,  1.448664078882392E+01, -1.367942682938262E+01, -2.386478964943307E-01,  2.666846802059459E-03,  2.683066227533391E-03, -2.452780251533239E-05,
2451566.500000000, A.D. 2000-Jan-23 00:00:00.0000,  1.448930735068888E+01, -1.367674351534946E+01, -2.386724700222008E-01,  2.666237514840404E-03,  2.683574217148638E-03, -2.458906904598197E-05,
2451567.500000000, A.D. 2000-Jan-24 00:00:00.0000,  1.449197329534339E+01, -1.367405967638678E+01, -2.386969936341846E-01,  2.665696443079909E-03,  2.684093730821727E-03, -2.446021149347360E-05,
2451568.500000000, A.D. 2000-Jan-25 00:00:00.0000,  1.449463877011148E+01, -1.367137534212409E+01, -2.387214468206949E-01,  2.665237157123639E-03,  2.684575678822032E-03, -2.446714589698273E-05,
2451569.500000000, A.D. 2000-Jan-26 00:00:00.0000,  1.449730373963102E+01, -1.366869051704753E+01, -2.387459171187622E-01,  2.664715094393621E-03,  2.685073889222364E-03, -2.445434304801192E-05,
2451570.500000000, A.D. 2000-Jan-27 00:00:00.0000,  1.449996824674572E+01, -1.366600520976766E+01, -2.387703967687105E-01,  2.664281321847079E-03,  2.685537377971708E-03, -2.455534071450301E-05,
2451571.500000000, A.D. 2000-Jan-28 00:00:00.0000,  1.450263220133062E+01, -1.366331942256599E+01, -2.387950428557062E-01,  2.663592593211827E-03,  2.686050876790960E-03, -2.469544306489613E-05,
2451572.500000000, A.D. 2000-Jan-29 00:00:00.0000,  1.450529545472595E+01, -1.366063310061481E+01, -2.388196952208337E-01,  2.662962057605891E-03,  2.686584344291650E-03, -2.459595582463394E-05,
2451573.500000000, A.D. 2000-Jan-30 00:00:00.0000,  1.450795816298467E+01, -1.365794627069515E+01, -2.388442999671486E-01,  2.662420490145115E-03,  2.687078801412658E-03, -2.464056361432906E-05,
2451574.500000000, A.D. 2000-Jan-31 00:00:00.0000,  1.451062024269029E+01, -1.365525892543709E+01, -2.388689346265926E-01,  2.661749195555390E-03,  2.687614499073401E-03, -2.459424053741289E-05,
2451575.500000000, A.D. 2000-Feb-01 00:00:00.0000,  1.451328171287489E+01, -1.365257105117857E+01, -2.388934714655135E-01,  2.661207658592149E-03,  2.688127952257064E-03, -2.449883892441763E-05,
2451576.500000000, A.D. 2000-Feb-02 00:00:00.0000,  1.451594262831921E+01, -1.364988266594849E+01, -2.389179537123553E-01,  2.660607958164154E-03,  2.688649540243209E-03, -2.443604126073955E-05,
2451577.500000000, A.D. 2000-Feb-03 00:00:00.0000,  1.451860299558086E+01, -1.364719375927503E+01, -2.389422927252040E-01,  2.660176335769015E-03,  2.689149508225084E-03, -2.426581685681624E-05,
2451578.500000000, A.D. 2000-Feb-04 00:00:00.0000,  1.452126299561697E+01, -1.364450438487327E+01, -2.389665885375420E-01,  2.659784557157630E-03,  2.689602472200634E-03, -2.436755653687812E-05,
2451579.500000000, A.D. 2000-Feb-05 00:00:00.0000,  1.452392247042679E+01, -1.364181453126334E+01, -2.389910079123016E-01,  2.659159689795687E-03,  2.690112557435532E-03, -2.442194530814577E-05,
2451580.500000000, A.D. 2000-Feb-06 00:00:00.0000,  1.452658137705820E+01, -1.363912416967665E+01, -2.390154089731571E-01,  2.658666083955003E-03,  2.690603228117114E-03, -2.441097899593290E-05,
2451581.500000000, A.D. 2000-Feb-07 00:00:00.0000,  1.452923976379028E+01, -1.363643332122321E+01, -2.390398649414454E-01,  2.658081794764710E-03,  2.691101135027270E-03, -2.448990149303473E-05,
2451582.500000000, A.D. 2000-Feb-08 00:00:00.0000,  1.453189754310214E+01, -1.363374196145423E+01, -2.390643381927991E-01,  2.657508226244666E-03,  2.691612347138040E-03, -2.445177565965938E-05,
2451583.500000000, A.D. 2000-Feb-09 00:00:00.0000,  1.453455478549904E+01, -1.363105010563353E+01, -2.390888274642367E-01,  2.656934070315446E-03,  2.692106341446824E-03, -2.453983633284257E-05,
2451584.500000000, A.D. 2000-Feb-10 00:00:00.0000,  1.453721136195845E+01, -1.362835772801397E+01, -2.391133481891615E-01,  2.656239458823633E-03,  2.692651076495398E-03, -2.445350819370949E-05,
2451585.500000000, A.D. 2000-Feb-11 00:00:00.0000,  1.453986736200331E+01, -1.362566482260235E+01, -2.391377144129522E-01,  2.655799231378968E-03,  2.693145659922568E-03, -2.432212078879535E-05,
2451586.500000000, A.D. 2000-Feb-12 00:00:00.0000,  1.454252292238105E+01, -1.362297144090471E+01, -2.391620816064622E-01,  2.655277286992912E-03,  2.693627658345308E-03, -2.440856603183896E-05,
2451587.500000000, A.D. 2000-Feb-13 00:00:00.0000,  1.454517790508014E+01, -1.362027755724644E+01, -2.391864808376720E-01,  2.654708198947464E-03,  2.694135951526946E-03, -2.438290533138331E-05,
2451588.500000000, A.D. 2000-Feb-14 00:00:00.0000,  1.454783235381174E+01, -1.361758317694283E+01, -2.392108793932831E-01,  2.654168856641443E-03,  2.694626731634803E-03, -2.443407463940846E-05,
2451589.500000000, A.D. 2000-Feb-15 00:00:00.0000,  1.455048618999341E+01, -1.361488828769844E+01, -2.392353128911317E-01,  2.653516933936376E-03,  2.695154947639397E-03, -2.438900118401802E-05,
2451590.500000000, A.D. 2000-Feb-16 00:00:00.0000,  1.455313946571449E+01, -1.361219288378938E+01, -2.392596577216072E-01,  2.653046221397733E-03,  2.695644095335338E-03, -2.434247632266871E-05,
2451591.500000000, A.D. 2000-Feb-17 00:00:00.0000,  1.455579222453688E+01, -1.360949699386564E+01, -2.392840503771646E-01,  2.652426347745144E-03,  2.696147924758929E-03, -2.442744744641684E-05,
2451592.500000000, A.D. 2000-Feb-18 00:00:00.0000,  1.455844431016651E+01, -1.360680057291709E+01, -2.393084132644606E-01,  2.651796456884705E-03,  2.696687284065631E-03, -2.426723517494444E-05,
2451593.500000000, A.D. 2000-Feb-19 00:00:00.0000,  1.456109589153478E+01, -1.360410364218728E+01, -2.393326325421190E-01,  2.651358848533735E-03,  2.697170558531757E-03, -2.420640422932846E-05,
2451594.500000000, A.D. 2000-Feb-20 00:00:00.0000,  1.456374699513905E+01, -1.360140622583097E+01, -2.393568379817319E-01,  2.650846718415166E-03,  2.697664289077261E-03, -2.419050301548495E-05,
2451595.500000000, A.D. 2000-Feb-21 00:00:00.0000,  1.456639762589782E+01, -1.359870832344241E+01, -2.393810173427908E-01,  2.650427558019198E-03,  2.698132574953903E-03, -2.420789428580936E-05,
2451596.500000000, A.D. 2000-Feb-22 00:00:00.0000,  1.456904777883859E+01, -1.359600995352371E+01, -2.394053118172939E-01,  2.649831566211457E-03,  2.698620635392681E-03, -2.435762217977820E-05,
2451597.500000000, A.D. 2000-Feb-23 00:00:00.0000,  1.457169729069813E+01, -1.359331107080884E+01, -2.394296510531667E-01,  2.649229077568609E-03,  2.699138660677089E-03, -2.430392740133963E-05,
2451598.500000000, A.D. 2000-Feb-24 00:00:00.0000,  1.457434628765260E+01, -1.359061169454798E+01, -2.394539726607031E-01,  2.648743712662291E-03,  2.699612270388772E-03, -2.438618632501590E-05,
2451599.500000000, A.D. 2000-Feb-25 00:00:00.0000,  1.457699468183403E+01, -1.358791182493136E+01, -2.394784180224346E-01,  2.648027789307231E-03,  2.700137781622761E-03, -2.445490763866133E-05,
2451600.500000000, A.D. 2000-Feb-26 00:00:00.0000,  1.457964238710828E+01, -1.358521142053516E+01, -2.395028256439918E-01,  2.647406190069320E-03,  2.700664901299630E-03, -2.436441072257827E-05,
2451601.500000000, A.D. 2000-Feb-27 00:00:00.0000,  1.458228949514959E+01, -1.358251049800559E+01, -2.395271690421442E-01,  2.646791954814303E-03,  2.701185135891554E-03, -2.431459328067470E-05,
2451602.500000000, A.D. 2000-Feb-28 00:00:00.0000,  1.458493599514408E+01, -1.357980904724768E+01, -2.395513919614910E-01,  2.646261296057825E-03,  2.701705965488087E-03, -2.412514811680683E-05,
