JDTDB, Fecha, X, Y, Z, VX, VY, Vz,
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000, -7.186302169204941E-01, -2.250380069428597E-02,  4.117184128636830E-02,  5.135327471455046E-04, -2.030614162247666E-02, -3.071745200681565E-04,
2451545.500000000, A.D. 2000-Jan-02 00:00:00.0000, -7.178321361912561E-01, -4.279835004903206E-02,  4.084840104226666E-02,  1.082481568357379E-03, -2.028027972449355E-02, -3.396608821885615E-04,
2451546.500000000, A.D. 2000-Jan-03 00:00:00.0000, -7.164656239478461E-01, -6.305901189309752E-02,  4.049261398509574E-02,  1.650319954654937E-03, -2.023837351352835E-02, -3.718638642820325E-04,
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000, -7.145320177819197E-01, -8.326976483422484E-02,  4.010477629316494E-02,  2.216593911173259E-03, -2.018047101160635E-02, -4.037579179774405E-04,
2451548.500000000, A.D. 2000-Jan-05 00:00:00.0000, -7.120331082600946E-01, -1.034146420287703E-01,  3.968520954508322E-02,  2.780851546751571E-03, -2.010663327839693E-02, -4.353177945228647E-04,
2451549.500000000, A.D. 2000-Jan-06 00:00:00.0000, -7.089711366293272E-01, -1.234777441707965E-01,  3.923426040978341E-02,  3.342643454981028E-03, -2.001693431216603E-02, -4.665185654261557E-04,
2451550.500000000, A.D. 2000-Jan-07 00:00:00.0000, -7.053487921436812E-01, -1.434432523763281E-01,  3.875230031612603E-02,  3.901523090308771E-03, -1.991146093919465E-02, -4.973356426524996E-04,
2451551.500000000, A.D. 2000-Jan-08 00:00:00.0000, -7.011692090176167E-01, -1.632954409513707E-01,  3.823972510253430E-02,  4.457047138831860E-03, -1.979031269193160E-02, -5.277447983615658E-04,
2451552.500000000, A.D. 2000-Jan-09 00:00:00.0000, -6.964359630112895E-01, -1.830186900325669E-01,  3.769695464712925E-02,  5.008775883427418E-03, -1.965360167616406E-02, -5.577221841676286E-04,
2451553.500000000, A.D. 2000-Jan-10 00:00:00.0000, -6.911530676536783E-01, -2.025974980896382E-01,  3.712443247884888E-02,  5.556273562920957E-03, -1.950145242744912E-02, -5.872443499088372E-04,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000, -6.853249701096811E-01, -2.220164942790238E-01,  3.652262537005087E-02,  6.099108724908142E-03, -1.933400175717347E-02, -6.162882619084843E-04,
2451555.500000000, A.D. 2000-Jan-12 00:00:00.0000, -6.789565466976631E-01, -2.412604506385344E-01,  3.589202291111183E-02,  6.636854571998328E-03, -1.915139858851409E-02, -6.448313207185019E-04,
2451556.500000000, A.D. 2000-Jan-13 00:00:00.0000, -6.720530980641931E-01, -2.603142941130075E-01,  3.523313706754874E-02,  7.169089301142646E-03, -1.895380378257929E-02, -6.728513783296965E-04,
2451557.500000000, A.D. 2000-Jan-14 00:00:00.0000, -6.646203440230071E-01, -2.791631184013720E-01,  3.454650172020037E-02,  7.695396435805268E-03, -1.874138995512400E-02, -7.003267548401072E-04,
2451558.500000000, A.D. 2000-Jan-15 00:00:00.0000, -6.566644180654928E-01, -2.977921956158295E-01,  3.383267218901580E-02,  8.215365150713489E-03, -1.851434128412402E-02, -7.272362545701062E-04,
